,doi,EPS
149,10.2166/wst.2013.537,1.0
150,10.1016/j.ecolecon.2011.12.015,1.0
151,10.1111/gcbb.12299,1.0
152,10.1111/gcbb.12695,1.0
153,10.1016/j.ecolind.2014.11.029,1.0
154,10.1016/j.cosust.2015.05.007,1.0
155,2.02003E+15,1.0
156,10.1002/wcc.486,1.0
157,10.1021/es204163f,1.0
158,10.1111/gcb.14887,1.0
159,10.1007/s10584-013-0897-y,1.0
160,10.1016/j.gloenvcha.2011.07.001,1.0
161,10.1890/1540-9295(2003)001[0262:BCATKP]2.0.CO;2,1.0
162,,1.0
163,10.1038/s41558-017-0064-y,1.0
164,10.1016/j.erss.2018.11.003,1.0
165,10.1088/1748-9326/aa98d2,1.0
166,10.1088/1748-9326/abc2f7,1.0
167,10.1111/gcb.12591,1.0
168,10.1038/s41467-019-10842-5,1.0
169,10.1126/science.abp9505,1.0
170,2020031315105507,
171,10.1038/s41893-019-0334-y,1.0
172,10.1016/j.jenvman.2015.01.045,1.0
173,10.1890/110004,1.0
174,10.1016/j.ecolind.2016.02.004,1.0
175,10.1111/j.1365-2664.2009.01697.x,1.0
176,10.3390/su8090875,1.0
177,10.1111/gcbb.12366,1.0
178,10.1016/j.cosust.2015.08.007,1.0
179,10.1016/j.techfore.2015.03.005,1.0
180,10.1038/nclimate1462,1.0
176,10.1126/science.aaz6003,1.0
177,10.1073/pnas.1312753111,1.0
178,10.1525/bio.2011.61.12.8,1.0
179,10.1016/j.rser.2011.04.023,1.0
180,10.1016/j.rser.2013.08.040,1.0
181,10.1007/s10098-012-0577-z,1.0
182,10.1098/rsta.2016.0456,1.0
183,10.1111/gcb.13178,1.0
184,10.1038/nclimate2870,1.0
185,10.1038/nclimate2882,1.0
186,10.1126/science.1119282,1.0
187,10.1007/s10584-013-0926-x,1.0
188,10.1111/gcb.14459,1.0
189,10.1111/gcbb.12337,1.0
190,10.1021/acs.energyfuels.0c03685,1.0
191,10.1016/j.erss.2020.101902,1.0
192,10.1016/j.rser.2012.06.023,1.0
193,10.1016/j.apenergy.2016.07.058,1.0
194,10.1016/j.envpol.2016.06.048,1.0
195,10.1016/j.rser.2017.08.031,1.0
196,10.1016/j.scitotenv.2018.05.223,1.0
197,10.1016/j.solmat.2016.04.025,1.0
198,10.1016/j.jclepro.2018.03.063,1.0
199,10.5194/hess-18-2859-2014,1.0
200,10.1038/s41467-019-13241-y,1.0
201,10.1088/1748-9326/aac3ec,1.0
202,10.1073/pnas.2118273119,1.0
203,10.1016/j.gloenvcha.2021.102303,1.0
204,10.1038/s41467-019-13067-8,1.0
205,10.1111/gcb.15219,1.0
206,10.1016/j.oneear.2022.10.007,1.0
207,10.1146/annurev-environ-101718-033129,1.0
208,10.1016/j.apenergy.2013.12.022,1.0
209,10.1111/gcb.14878,1.0
210,10.1038/s41578-021-00407-8,1.0
211,10.3390/ijerph18157729,1.0
