,eid,EPS
199,2-s2.0-85076619200,0
200,2-s2.0-85100904090,0
201,2-s2.0-85060084376,0
202,2-s2.0-85103541812,0
203,2-s2.0-85075869477,0
204,2-s2.0-85084185337,0
205,2-s2.0-85122742360,1
206,2-s2.0-85075166303,1
207,2-s2.0-80855139437,1
208,2-s2.0-85077070390,0
209,2-s2.0-85123024046,0
210,2-s2.0-84959420516,0
211,2-s2.0-85129326612,0
212,2-s2.0-85105833561,1
213,2-s2.0-85128757598,0
214,2-s2.0-85138195777,0
215,2-s2.0-85107740594,1
216,2-s2.0-85106266918,0
217,2-s2.0-0346724682,0
218,2-s2.0-85130991175,0
219,2-s2.0-33846606045,0
220,2-s2.0-85114001933,0
221,2-s2.0-85103240163,0
222,2-s2.0-85100255010,0
223,2-s2.0-85094124850,0
224,2-s2.0-0034298220,0
225,2-s2.0-85088784610,0
226,2-s2.0-66849111887,0
227,2-s2.0-85126869724,0
228,2-s2.0-85073182535,0
229,2-s2.0-85063151605,0
230,2-s2.0-85063578167,0
231,2-s2.0-85058884779,1
232,2-s2.0-85055559523,0
233,2-s2.0-85134535039,0
234,2-s2.0-67249122253,0
235,2-s2.0-85047246179,0
236,2-s2.0-85019222011,0
237,2-s2.0-84887828673,0
238,2-s2.0-85138183254,0
239,2-s2.0-85012280112,1
240,2-s2.0-84881164706,0
241,2-s2.0-85132557070,0
242,2-s2.0-85138089565,0
243,2-s2.0-85094101567,0
244,2-s2.0-85020785188,0
245,2-s2.0-84867566207,1
246,2-s2.0-85124524513,0
247,2-s2.0-67749084566,0
248,2-s2.0-84859367616,0
249,2-s2.0-67349209498,0
250,2-s2.0-85116930293,0
251,2-s2.0-85128737833,0
252,2-s2.0-0242658872,0
253,2-s2.0-0029729535,0
254,2-s2.0-85140966920,0
255,2-s2.0-85138594577,0
256,2-s2.0-85134754207,0
257,2-s2.0-85139839479,0
258,2-s2.0-85138051802,0
259,2-s2.0-85137726842,0
260,2-s2.0-85136171852,0
261,2-s2.0-85139918759,0
262,2-s2.0-85140018443,0
263,2-s2.0-85139911284,0
264,2-s2.0-85139346442,0
265,2-s2.0-85136167861,0
266,2-s2.0-85133640248,0
267,2-s2.0-85132884494,0
268,2-s2.0-85139961346,0
269,2-s2.0-85135396582,0
270,2-s2.0-85139184804,0
271,2-s2.0-85133452736,0
272,2-s2.0-85131458265,0
273,2-s2.0-85139401855,0
274,2-s2.0-85138768326,1
275,2-s2.0-85138329515,0
276,2-s2.0-85135501056,0
277,2-s2.0-85134657948,0
278,2-s2.0-85128869590,0
279,2-s2.0-85127368329,0
280,2-s2.0-85138007508,0
281,2-s2.0-85130332636,1
282,2-s2.0-85137240474,0
283,2-s2.0-85137193113,0
284,2-s2.0-85137125437,0
285,2-s2.0-85136341859,0
286,2-s2.0-85135072892,0
287,2-s2.0-85128183165,0
288,2-s2.0-85127676906,0
289,2-s2.0-85126776827,0
290,2-s2.0-85127815287,0
291,2-s2.0-85126529861,0
292,2-s2.0-85135125122,0
293,2-s2.0-85134579230,0
294,2-s2.0-85133804828,0
295,2-s2.0-85130209064,0
296,2-s2.0-85129983333,0
297,2-s2.0-85129953394,0
298,2-s2.0-85128890471,0
299,2-s2.0-85128467937,0
300,2-s2.0-85135584672,0
301,2-s2.0-85129074688,0
302,2-s2.0-85129032816,0
303,2-s2.0-85123451991,0
304,2-s2.0-85129740793,0
305,2-s2.0-85127358084,0
306,2-s2.0-85124712347,0
307,2-s2.0-85123526935,0
308,2-s2.0-85123263756,0
309,2-s2.0-85123077592,0
310,2-s2.0-85128060607,0
311,2-s2.0-85127183842,0
312,2-s2.0-85127071645,0
313,2-s2.0-85121661923,0
314,2-s2.0-85120580904,0
315,2-s2.0-85123570908,0
316,2-s2.0-85126960664,0
317,2-s2.0-85123027823,0
318,2-s2.0-85122638587,0
