eid,EPS,doi
2-s2.0-66849111887,0,
2-s2.0-85126869724,0,
2-s2.0-85073182535,0,
2-s2.0-85063151605,0,
2-s2.0-85063578167,0,
2-s2.0-85055559523,0,
2-s2.0-85134535039,0,
2-s2.0-67249122253,0,
2-s2.0-85047246179,0,
2-s2.0-85019222011,0,
2-s2.0-84887828673,0,
2-s2.0-85138183254,0,
2-s2.0-84881164706,0,
2-s2.0-85132557070,0,
2-s2.0-85138089565,0,
2-s2.0-85094101567,0,
2-s2.0-85020785188,0,
2-s2.0-85124524513,0,
2-s2.0-67749084566,0,
2-s2.0-84859367616,0,
2-s2.0-67349209498,0,
2-s2.0-85116930293,0,
2-s2.0-85128737833,0,
2-s2.0-0242658872,0,
2-s2.0-0029729535,0,
2-s2.0-85140966920,0,
2-s2.0-85138594577,0,
2-s2.0-85134754207,0,
2-s2.0-85139839479,0,
2-s2.0-85138051802,0,
2-s2.0-85137726842,0,
2-s2.0-85136171852,0,
2-s2.0-85139918759,0,
2-s2.0-85140018443,0,
2-s2.0-85139911284,0,
2-s2.0-85139346442,0,
2-s2.0-85136167861,0,
2-s2.0-85133640248,0,
2-s2.0-85132884494,0,
2-s2.0-85139961346,0,
2-s2.0-85135396582,0,
2-s2.0-85139184804,0,
2-s2.0-85133452736,0,
2-s2.0-85131458265,0,
2-s2.0-85139401855,0,
2-s2.0-85138329515,0,
2-s2.0-85135501056,0,
2-s2.0-85134657948,0,
2-s2.0-85128869590,0,
2-s2.0-85127368329,0,
2-s2.0-85138007508,0,
2-s2.0-85137240474,0,
2-s2.0-85137193113,0,
2-s2.0-85137125437,0,
2-s2.0-85136341859,0,
2-s2.0-85135072892,0,
2-s2.0-85128183165,0,
2-s2.0-85127676906,0,
2-s2.0-85126776827,0,
2-s2.0-85127815287,0,
2-s2.0-85126529861,0,
2-s2.0-85135125122,0,
2-s2.0-85134579230,0,
2-s2.0-85133804828,0,
2-s2.0-85130209064,0,
2-s2.0-85129983333,0,
2-s2.0-85129953394,0,
2-s2.0-85128890471,0,
2-s2.0-85128467937,0,
2-s2.0-85135584672,0,
2-s2.0-85129074688,0,
2-s2.0-85129032816,0,
2-s2.0-85123451991,0,
2-s2.0-85129740793,0,
2-s2.0-85127358084,0,
2-s2.0-85124712347,0,
2-s2.0-85123526935,0,
2-s2.0-85123263756,0,
2-s2.0-85123077592,0,
2-s2.0-85128060607,0,
2-s2.0-85127183842,0,
2-s2.0-85127071645,0,
2-s2.0-85121661923,0,
2-s2.0-85120580904,0,
2-s2.0-85123570908,0,
2-s2.0-85126960664,0,
2-s2.0-85123027823,0,
2-s2.0-85122638587,0,
2-s2.0-85121216453,0,
2-s2.0-85117947392,0,
2-s2.0-85124870514,0,
2-s2.0-85116012931,0,
2-s2.0-85111845406,0,
2-s2.0-85119254216,0,
2-s2.0-85123167384,0,
2-s2.0-85139993505,0,
2-s2.0-85139168491,0,
2-s2.0-85139117322,0,
2-s2.0-85138215256,0,
2-s2.0-85122186354,0,
2-s2.0-85121594838,0,
2-s2.0-85119901581,0,
2-s2.0-85114672366,0,
2-s2.0-85121304897,0,
2-s2.0-85116063682,0,
2-s2.0-85122806417,0,
2-s2.0-85119879280,0,
2-s2.0-85118766328,0,
2-s2.0-85118361400,0,
2-s2.0-85116292690,0,
2-s2.0-85108569075,0,
2-s2.0-85136455660,0,
2-s2.0-85111310751,0,
